file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,209,css,1e6a364b,Franky,2025-10-17,20:39:28,-07:00,2025-10-17T20:39:28-07:00,0,0
style.css,210,css,1e6a364b,Franky,2025-10-17,20:39:28,-07:00,2025-10-17T20:39:28-07:00,0,0
style.css,211,css,1e6a364b,Franky,2025-10-17,20:39:28,-07:00,2025-10-17T20:39:28-07:00,0,2
style.css,212,css,2928fba3,Franky,2025-10-19,12:09:58,-07:00,2025-10-19T12:09:58-07:00,1,14
style.css,213,css,1e6a364b,Franky,2025-10-17,20:39:28,-07:00,2025-10-17T20:39:28-07:00,1,10
style.css,214,css,1e6a364b,Franky,2025-10-17,20:39:28,-07:00,2025-10-17T20:39:28-07:00,0,0
style.css,215,css,1e6a364b,Franky,2025-10-17,20:39:28,-07:00,2025-10-17T20:39:28-07:00,0,0
style.css,216,css,1e6a364b,Franky,2025-10-17,20:39:28,-07:00,2025-10-17T20:39:28-07:00,0,2
style.css,217,css,2928fba3,Franky,2025-10-19,12:09:58,-07:00,2025-10-19T12:09:58-07:00,1,14
style.css,218,css,1e6a364b,Franky,2025-10-17,20:39:28,-07:00,2025-10-17T20:39:28-07:00,0,0
style.css,219,css,1e6a364b,Franky,2025-10-17,20:39:28,-07:00,2025-10-17T20:39:28-07:00,0,0
style.css,220,css,1e6a364b,Franky,2025-10-17,20:39:28,-07:00,2025-10-17T20:39:28-07:00,0,0
style.css,221,css,1e6a364b,Franky,2025-10-17,20:39:28,-07:00,2025-10-17T20:39:28-07:00,0,5
style.css,222,css,1e6a364b,Franky,2025-10-17,20:39:28,-07:00,2025-10-17T20:39:28-07:00,1,17
style.css,223,css,1e6a364b,Franky,2025-10-17,20:39:28,-07:00,2025-10-17T20:39:28-07:00,1,14
style.css,224,css,1e6a364b,Franky,2025-10-17,20:39:28,-07:00,2025-10-17T20:39:28-07:00,1,10
style.css,225,css,1e6a364b,Franky,2025-10-17,20:39:28,-07:00,2025-10-17T20:39:28-07:00,1,16
style.css,226,css,1e6a364b,Franky,2025-10-17,20:39:28,-07:00,2025-10-17T20:39:28-07:00,0,0
style.css,227,css,1e6a364b,Franky,2025-10-17,20:39:28,-07:00,2025-10-17T20:39:28-07:00,0,0
style.css,228,css,2928fba3,Franky,2025-10-19,12:09:58,-07:00,2025-10-19T12:09:58-07:00,0,21
style.css,229,css,2928fba3,Franky,2025-10-19,12:09:58,-07:00,2025-10-19T12:09:58-07:00,1,10
style.css,230,css,2928fba3,Franky,2025-10-19,12:09:58,-07:00,2025-10-19T12:09:58-07:00,1,12
style.css,231,css,2928fba3,Franky,2025-10-19,12:09:58,-07:00,2025-10-19T12:09:58-07:00,1,16
style.css,232,css,2928fba3,Franky,2025-10-19,12:09:58,-07:00,2025-10-19T12:09:58-07:00,1,13
style.css,233,css,2928fba3,Franky,2025-10-19,12:09:58,-07:00,2025-10-19T12:09:58-07:00,0,0
style.css,234,css,2928fba3,Franky,2025-10-19,12:09:58,-07:00,2025-10-19T12:09:58-07:00,0,0
style.css,235,css,2928fba3,Franky,2025-10-19,12:09:58,-07:00,2025-10-19T12:09:58-07:00,0,13
style.css,236,css,2928fba3,Franky,2025-10-19,12:09:58,-07:00,2025-10-19T12:09:58-07:00,1,14
style.css,237,css,2928fba3,Franky,2025-10-19,12:09:58,-07:00,2025-10-19T12:09:58-07:00,0,0
style.css,238,css,2928fba3,Franky,2025-10-19,12:09:58,-07:00,2025-10-19T12:09:58-07:00,0,0
style.css,239,css,2928fba3,Franky,2025-10-19,12:09:58,-07:00,2025-10-19T12:09:58-07:00,0,15
style.css,240,css,2928fba3,Franky,2025-10-19,12:09:58,-07:00,2025-10-19T12:09:58-07:00,1,12
style.css,241,css,2928fba3,Franky,2025-10-19,12:09:58,-07:00,2025-10-19T12:09:58-07:00,0,0
style.css,242,css,2928fba3,Franky,2025-10-19,12:09:58,-07:00,2025-10-19T12:09:58-07:00,0,0
